id,split,source,source_index,variant,color,quality_score,visible_fraction,angle,blur,hand_occlusion,detection_overlay,bbox_xyxy,yolo_label,image,label,overlay
bangle_comp_006_1,train,bangle_gpt_006.png,6,1,lavender_purple,77.212,1.0,-30.345,0.0,none,red_orange,"[420, 682, 792, 956]",0 0.601190 0.457031 0.369048 0.152902,images/train/bangle_comp_006_1.jpg,labels/train/bangle_comp_006_1.txt,qa/overlays/train/bangle_comp_006_1.jpg
bangle_comp_006_2,train,bangle_gpt_006.png,6,2,black_ink,67.228,1.0,-29.275,1.28,left,red_orange,"[327, 877, 608, 1106]",0 0.463790 0.553292 0.278770 0.127790,images/train/bangle_comp_006_2.jpg,labels/train/bangle_comp_006_2.txt,qa/overlays/train/bangle_comp_006_2.jpg
bangle_comp_007_1,test,bangle_gpt_007.png,7,1,icy_white,86.309,1.0,5.45,0.0,left,red_orange,"[271, 903, 725, 1162]",0 0.494048 0.576172 0.450397 0.144531,images/test/bangle_comp_007_1.jpg,labels/test/bangle_comp_007_1.txt,qa/overlays/test/bangle_comp_007_1.jpg
bangle_comp_007_2,test,bangle_gpt_007.png,7,2,blue_water,85.562,0.9995,-29.657,0.0,left,red_orange,"[190, 792, 630, 1144]",0 0.406746 0.540179 0.436508 0.196429,images/test/bangle_comp_007_2.jpg,labels/test/bangle_comp_007_2.txt,qa/overlays/test/bangle_comp_007_2.jpg
bangle_comp_008_1,val,bangle_gpt_008.png,8,1,bean_green,88.469,1.0,17.98,0.0,bottom,none,"[174, 776, 674, 1093]",0 0.420635 0.521484 0.496032 0.176897,images/val/bangle_comp_008_1.jpg,labels/val/bangle_comp_008_1.txt,qa/overlays/val/bangle_comp_008_1.jpg
bangle_comp_008_2,val,bangle_gpt_008.png,8,2,dark_green,80.286,1.0,11.466,0.0,none,none,"[310, 731, 685, 949]",0 0.493552 0.468750 0.372024 0.121652,images/val/bangle_comp_008_2.jpg,labels/val/bangle_comp_008_2.txt,qa/overlays/val/bangle_comp_008_2.jpg
bangle_comp_009_1,train,bangle_gpt_009.png,9,1,white_green_flower,90.36,1.0,-7.102,0.0,none,red_orange,"[316, 803, 802, 1119]",0 0.554563 0.536272 0.482143 0.176339,images/train/bangle_comp_009_1.jpg,labels/train/bangle_comp_009_1.txt,qa/overlays/train/bangle_comp_009_1.jpg
bangle_comp_009_2,train,bangle_gpt_009.png,9,2,apple_green,76.083,1.0,-29.327,0.0,none,none,"[297, 688, 612, 951]",0 0.450893 0.457310 0.312500 0.146763,images/train/bangle_comp_009_2.jpg,labels/train/bangle_comp_009_2.txt,qa/overlays/train/bangle_comp_009_2.jpg
bangle_comp_010_1,train,bangle_gpt_010.png,10,1,imperial_green,68.813,1.0,12.324,1.133,right,red_orange,"[450, 637, 778, 857]",0 0.609127 0.416853 0.325397 0.122768,images/train/bangle_comp_010_1.jpg,labels/train/bangle_comp_010_1.txt,qa/overlays/train/bangle_comp_010_1.jpg
bangle_comp_010_2,train,bangle_gpt_010.png,10,2,yellow_honey,89.068,1.0,30.866,0.0,bottom,none,"[357, 858, 885, 1275]",0 0.616071 0.595145 0.523810 0.232701,images/train/bangle_comp_010_2.jpg,labels/train/bangle_comp_010_2.txt,qa/overlays/train/bangle_comp_010_2.jpg
bangle_comp_011_1,train,bangle_gpt_011.png,11,1,lavender_purple,90.705,1.0,31.139,0.0,left,red_orange,"[311, 637, 836, 1019]",0 0.568948 0.462054 0.520833 0.213170,images/train/bangle_comp_011_1.jpg,labels/train/bangle_comp_011_1.txt,qa/overlays/train/bangle_comp_011_1.jpg
bangle_comp_011_2,train,bangle_gpt_011.png,11,2,black_ink,70.968,1.0,-28.299,1.391,right,none,"[409, 888, 791, 1177]",0 0.595238 0.576172 0.378968 0.161272,images/train/bangle_comp_011_2.jpg,labels/train/bangle_comp_011_2.txt,qa/overlays/train/bangle_comp_011_2.jpg
bangle_comp_012_1,train,bangle_gpt_012.png,12,1,icy_white,82.581,0.9924,-29.485,1.06,bottom,red_orange,"[145, 537, 647, 937]",0 0.392857 0.411272 0.498016 0.223214,images/train/bangle_comp_012_1.jpg,labels/train/bangle_comp_012_1.txt,qa/overlays/train/bangle_comp_012_1.jpg
bangle_comp_012_2,train,bangle_gpt_012.png,12,2,blue_water,79.978,1.0,27.285,0.0,none,red_orange,"[267, 973, 667, 1249]",0 0.463294 0.619978 0.396825 0.154018,images/train/bangle_comp_012_2.jpg,labels/train/bangle_comp_012_2.txt,qa/overlays/train/bangle_comp_012_2.jpg
bangle_comp_013_1,train,bangle_gpt_013.png,13,1,bean_green,72.349,0.8843,-27.317,0.0,right,red_orange,"[335, 938, 652, 1174]",0 0.489583 0.589286 0.314484 0.131696,images/train/bangle_comp_013_1.jpg,labels/train/bangle_comp_013_1.txt,qa/overlays/train/bangle_comp_013_1.jpg
bangle_comp_013_2,train,bangle_gpt_013.png,13,2,dark_green,77.346,0.9998,-19.86,0.0,right,none,"[445, 754, 820, 991]",0 0.627480 0.486886 0.372024 0.132254,images/train/bangle_comp_013_2.jpg,labels/train/bangle_comp_013_2.txt,qa/overlays/train/bangle_comp_013_2.jpg
bangle_comp_014_1,train,bangle_gpt_014.png,14,1,white_green_flower,79.765,1.0,-10.023,0.0,none,none,"[320, 964, 653, 1203]",0 0.482639 0.604632 0.330357 0.133371,images/train/bangle_comp_014_1.jpg,labels/train/bangle_comp_014_1.txt,qa/overlays/train/bangle_comp_014_1.jpg
bangle_comp_014_2,train,bangle_gpt_014.png,14,2,apple_green,83.189,0.9645,-30.33,0.795,left,red_orange,"[295, 652, 779, 1026]",0 0.532738 0.468192 0.480159 0.208705,images/train/bangle_comp_014_2.jpg,labels/train/bangle_comp_014_2.txt,qa/overlays/train/bangle_comp_014_2.jpg
bangle_comp_015_1,test,bangle_gpt_015.png,15,1,imperial_green,83.527,1.0,13.942,0.356,none,red_orange,"[312, 613, 775, 912]",0 0.539187 0.425502 0.459325 0.166853,images/test/bangle_comp_015_1.jpg,labels/test/bangle_comp_015_1.txt,qa/overlays/test/bangle_comp_015_1.jpg
bangle_comp_015_2,test,bangle_gpt_015.png,15,2,yellow_honey,91.581,1.0,4.99,0.38,right,red_orange,"[63, 642, 698, 982]",0 0.377480 0.453125 0.629960 0.189732,images/test/bangle_comp_015_2.jpg,labels/test/bangle_comp_015_2.txt,qa/overlays/test/bangle_comp_015_2.jpg
bangle_comp_016_1,val,bangle_gpt_016.png,16,1,lavender_purple,86.145,1.0,-17.043,1.027,none,red_orange,"[115, 652, 681, 1005]",0 0.394841 0.462333 0.561508 0.196987,images/val/bangle_comp_016_1.jpg,labels/val/bangle_comp_016_1.txt,qa/overlays/val/bangle_comp_016_1.jpg
bangle_comp_016_2,val,bangle_gpt_016.png,16,2,black_ink,82.629,0.9949,33.232,1.001,bottom,red_orange,"[208, 673, 747, 1117]",0 0.473710 0.499442 0.534722 0.247768,images/val/bangle_comp_016_2.jpg,labels/val/bangle_comp_016_2.txt,qa/overlays/val/bangle_comp_016_2.jpg
bangle_comp_017_1,train,bangle_gpt_017.png,17,1,icy_white,77.956,1.0,-28.134,0.0,left,none,"[186, 623, 574, 913]",0 0.376984 0.428571 0.384921 0.161830,images/train/bangle_comp_017_1.jpg,labels/train/bangle_comp_017_1.txt,qa/overlays/train/bangle_comp_017_1.jpg
bangle_comp_017_2,train,bangle_gpt_017.png,17,2,blue_water,81.046,1.0,-26.694,0.0,none,red_orange,"[341, 766, 733, 1041]",0 0.532738 0.504185 0.388889 0.153460,images/train/bangle_comp_017_2.jpg,labels/train/bangle_comp_017_2.txt,qa/overlays/train/bangle_comp_017_2.jpg
bangle_comp_018_1,train,bangle_gpt_018.png,18,1,bean_green,78.559,0.8713,-27.38,0.0,left,red_orange,"[229, 671, 651, 994]",0 0.436508 0.464565 0.418651 0.180246,images/train/bangle_comp_018_1.jpg,labels/train/bangle_comp_018_1.txt,qa/overlays/train/bangle_comp_018_1.jpg
bangle_comp_018_2,train,bangle_gpt_018.png,18,2,dark_green,85.758,1.0,-1.751,0.0,none,red_orange,"[235, 985, 677, 1263]",0 0.452381 0.627232 0.438492 0.155134,images/train/bangle_comp_018_2.jpg,labels/train/bangle_comp_018_2.txt,qa/overlays/train/bangle_comp_018_2.jpg
bangle_comp_019_1,train,bangle_gpt_019.png,19,1,white_green_flower,76.931,1.0,13.881,0.0,right,red_orange,"[270, 788, 604, 985]",0 0.433532 0.494699 0.331349 0.109933,images/train/bangle_comp_019_1.jpg,labels/train/bangle_comp_019_1.txt,qa/overlays/train/bangle_comp_019_1.jpg
bangle_comp_019_2,train,bangle_gpt_019.png,19,2,apple_green,76.567,1.0,-3.91,0.0,none,red_orange,"[419, 648, 765, 835]",0 0.587302 0.413783 0.343254 0.104353,images/train/bangle_comp_019_2.jpg,labels/train/bangle_comp_019_2.txt,qa/overlays/train/bangle_comp_019_2.jpg
bangle_comp_020_1,train,bangle_gpt_020.png,20,1,imperial_green,76.356,1.0,23.617,0.0,none,red_orange,"[379, 987, 694, 1230]",0 0.532242 0.618583 0.312500 0.135603,images/train/bangle_comp_020_1.jpg,labels/train/bangle_comp_020_1.txt,qa/overlays/train/bangle_comp_020_1.jpg
bangle_comp_020_2,train,bangle_gpt_020.png,20,2,yellow_honey,73.438,1.0,-29.853,0.0,none,red_orange,"[365, 753, 636, 948]",0 0.496528 0.474609 0.268849 0.108817,images/train/bangle_comp_020_2.jpg,labels/train/bangle_comp_020_2.txt,qa/overlays/train/bangle_comp_020_2.jpg
bangle_comp_021_1,train,bangle_gpt_021.png,21,1,lavender_purple,89.079,0.9685,10.824,0.0,bottom,red_orange,"[137, 854, 649, 1190]",0 0.389881 0.570312 0.507937 0.187500,images/train/bangle_comp_021_1.jpg,labels/train/bangle_comp_021_1.txt,qa/overlays/train/bangle_comp_021_1.jpg
bangle_comp_021_2,train,bangle_gpt_021.png,21,2,black_ink,77.84,1.0,10.125,0.429,right,red_orange,"[257, 723, 626, 967]",0 0.437996 0.471540 0.366071 0.136161,images/train/bangle_comp_021_2.jpg,labels/train/bangle_comp_021_2.txt,qa/overlays/train/bangle_comp_021_2.jpg
bangle_comp_022_1,test,bangle_gpt_022.png,22,1,icy_white,83.503,0.9429,-29.624,0.0,left,none,"[319, 686, 891, 1137]",0 0.600198 0.508650 0.567460 0.251674,images/test/bangle_comp_022_1.jpg,labels/test/bangle_comp_022_1.txt,qa/overlays/test/bangle_comp_022_1.jpg
bangle_comp_022_2,test,bangle_gpt_022.png,22,2,blue_water,94.832,1.0,1.36,0.0,none,none,"[361, 780, 928, 1122]",0 0.639385 0.530692 0.562500 0.190848,images/test/bangle_comp_022_2.jpg,labels/test/bangle_comp_022_2.txt,qa/overlays/test/bangle_comp_022_2.jpg
bangle_comp_023_1,test,bangle_gpt_023.png,23,1,bean_green,78.34,0.9741,-11.189,0.388,left,none,"[204, 804, 606, 1053]",0 0.401786 0.518136 0.398810 0.138951,images/test/bangle_comp_023_1.jpg,labels/test/bangle_comp_023_1.txt,qa/overlays/test/bangle_comp_023_1.jpg
bangle_comp_023_2,test,bangle_gpt_023.png,23,2,dark_green,94.262,1.0,4.644,0.0,right,none,"[287, 571, 836, 928]",0 0.557044 0.418248 0.544643 0.199219,images/test/bangle_comp_023_2.jpg,labels/test/bangle_comp_023_2.txt,qa/overlays/test/bangle_comp_023_2.jpg
bangle_comp_024_1,test,bangle_gpt_024.png,24,1,white_green_flower,83.705,1.0,-16.379,0.0,none,red_orange,"[313, 643, 782, 912]",0 0.543155 0.433873 0.465278 0.150112,images/test/bangle_comp_024_1.jpg,labels/test/bangle_comp_024_1.txt,qa/overlays/test/bangle_comp_024_1.jpg
bangle_comp_024_2,test,bangle_gpt_024.png,24,2,apple_green,87.642,0.9372,10.014,0.768,left,red_orange,"[297, 651, 911, 991]",0 0.599206 0.458147 0.609127 0.189732,images/test/bangle_comp_024_2.jpg,labels/test/bangle_comp_024_2.txt,qa/overlays/test/bangle_comp_024_2.jpg
bangle_comp_025_1,test,bangle_gpt_025.png,25,1,imperial_green,87.335,0.9541,-32.62,0.0,left,none,"[174, 654, 694, 1096]",0 0.430556 0.488281 0.515873 0.246652,images/test/bangle_comp_025_1.jpg,labels/test/bangle_comp_025_1.txt,qa/overlays/test/bangle_comp_025_1.jpg
bangle_comp_025_2,test,bangle_gpt_025.png,25,2,yellow_honey,83.314,1.0,9.638,1.249,none,none,"[249, 613, 800, 919]",0 0.520337 0.427455 0.546627 0.170759,images/test/bangle_comp_025_2.jpg,labels/test/bangle_comp_025_2.txt,qa/overlays/test/bangle_comp_025_2.jpg
bangle_comp_026_1,train,bangle_gpt_026.png,26,1,lavender_purple,74.951,1.0,18.537,0.0,none,none,"[409, 753, 722, 942]",0 0.561012 0.472935 0.310516 0.105469,images/train/bangle_comp_026_1.jpg,labels/train/bangle_comp_026_1.txt,qa/overlays/train/bangle_comp_026_1.jpg
bangle_comp_026_2,train,bangle_gpt_026.png,26,2,black_ink,83.418,1.0,-7.678,0.874,none,red_orange,"[133, 611, 704, 894]",0 0.415179 0.419922 0.566468 0.157924,images/train/bangle_comp_026_2.jpg,labels/train/bangle_comp_026_2.txt,qa/overlays/train/bangle_comp_026_2.jpg
bangle_comp_027_1,train,bangle_gpt_027.png,27,1,icy_white,83.308,1.0,17.371,1.006,none,none,"[294, 703, 925, 1089]",0 0.604663 0.500000 0.625992 0.215402,images/train/bangle_comp_027_1.jpg,labels/train/bangle_comp_027_1.txt,qa/overlays/train/bangle_comp_027_1.jpg
bangle_comp_027_2,train,bangle_gpt_027.png,27,2,blue_water,71.576,1.0,-19.4,1.215,none,red_orange,"[361, 931, 728, 1167]",0 0.540179 0.585379 0.364087 0.131696,images/train/bangle_comp_027_2.jpg,labels/train/bangle_comp_027_2.txt,qa/overlays/train/bangle_comp_027_2.jpg
bangle_comp_028_1,val,bangle_gpt_028.png,28,1,bean_green,81.212,1.0,29.672,1.244,none,none,"[353, 894, 836, 1283]",0 0.589782 0.607422 0.479167 0.217076,images/val/bangle_comp_028_1.jpg,labels/val/bangle_comp_028_1.txt,qa/overlays/val/bangle_comp_028_1.jpg
bangle_comp_028_2,val,bangle_gpt_028.png,28,2,dark_green,83.52,0.9771,-13.817,0.69,left,none,"[352, 758, 890, 1058]",0 0.616071 0.506696 0.533730 0.167411,images/val/bangle_comp_028_2.jpg,labels/val/bangle_comp_028_2.txt,qa/overlays/val/bangle_comp_028_2.jpg
bangle_comp_029_1,train,bangle_gpt_029.png,29,1,white_green_flower,83.678,1.0,23.96,0.0,bottom,red_orange,"[308, 886, 715, 1189]",0 0.507440 0.578962 0.403770 0.169085,images/train/bangle_comp_029_1.jpg,labels/train/bangle_comp_029_1.txt,qa/overlays/train/bangle_comp_029_1.jpg
bangle_comp_029_2,train,bangle_gpt_029.png,29,2,apple_green,80.387,1.0,33.137,0.0,none,red_orange,"[438, 644, 847, 979]",0 0.637401 0.452846 0.405754 0.186942,images/train/bangle_comp_029_2.jpg,labels/train/bangle_comp_029_2.txt,qa/overlays/train/bangle_comp_029_2.jpg
bangle_comp_030_1,train,bangle_gpt_030.png,30,1,imperial_green,79.409,1.0,25.335,0.0,bottom,red_orange,"[299, 797, 669, 1040]",0 0.480159 0.512556 0.367063 0.135603,images/train/bangle_comp_030_1.jpg,labels/train/bangle_comp_030_1.txt,qa/overlays/train/bangle_comp_030_1.jpg
bangle_comp_030_2,train,bangle_gpt_030.png,30,2,yellow_honey,73.941,1.0,-20.288,1.642,none,none,"[265, 688, 715, 962]",0 0.486111 0.460379 0.446429 0.152902,images/train/bangle_comp_030_2.jpg,labels/train/bangle_comp_030_2.txt,qa/overlays/train/bangle_comp_030_2.jpg
bangle_comp_031_1,train,bangle_gpt_031.png,31,1,lavender_purple,75.327,1.0,-20.628,0.0,bottom,red_orange,"[237, 723, 552, 957]",0 0.391369 0.468750 0.312500 0.130580,images/train/bangle_comp_031_1.jpg,labels/train/bangle_comp_031_1.txt,qa/overlays/train/bangle_comp_031_1.jpg
bangle_comp_031_2,train,bangle_gpt_031.png,31,2,black_ink,85.629,1.0,-13.409,0.476,bottom,none,"[316, 672, 869, 967]",0 0.587798 0.457310 0.548611 0.164621,images/train/bangle_comp_031_2.jpg,labels/train/bangle_comp_031_2.txt,qa/overlays/train/bangle_comp_031_2.jpg
bangle_comp_032_1,val,bangle_gpt_032.png,32,1,icy_white,86.548,1.0,-11.178,0.501,none,red_orange,"[67, 675, 685, 1071]",0 0.373016 0.487165 0.613095 0.220982,images/val/bangle_comp_032_1.jpg,labels/val/bangle_comp_032_1.txt,qa/overlays/val/bangle_comp_032_1.jpg
bangle_comp_032_2,val,bangle_gpt_032.png,32,2,blue_water,81.627,0.9425,-24.75,0.0,left,red_orange,"[374, 602, 807, 938]",0 0.585813 0.429688 0.429563 0.187500,images/val/bangle_comp_032_2.jpg,labels/val/bangle_comp_032_2.txt,qa/overlays/val/bangle_comp_032_2.jpg
bangle_comp_033_1,test,bangle_gpt_033.png,33,1,bean_green,90.39,1.0,-9.564,0.0,none,none,"[158, 872, 786, 1275]",0 0.468254 0.599051 0.623016 0.224888,images/test/bangle_comp_033_1.jpg,labels/test/bangle_comp_033_1.txt,qa/overlays/test/bangle_comp_033_1.jpg
bangle_comp_033_2,test,bangle_gpt_033.png,33,2,dark_green,87.899,1.0,-27.945,0.0,none,none,"[282, 908, 746, 1265]",0 0.509921 0.606306 0.460317 0.199219,images/test/bangle_comp_033_2.jpg,labels/test/bangle_comp_033_2.txt,qa/overlays/test/bangle_comp_033_2.jpg
bangle_comp_034_1,train,bangle_gpt_034.png,34,1,white_green_flower,74.204,1.0,-20.882,0.661,none,red_orange,"[362, 971, 717, 1213]",0 0.535218 0.609375 0.352183 0.135045,images/train/bangle_comp_034_1.jpg,labels/train/bangle_comp_034_1.txt,qa/overlays/train/bangle_comp_034_1.jpg
bangle_comp_034_2,train,bangle_gpt_034.png,34,2,apple_green,79.237,1.0,7.436,0.0,bottom,none,"[403, 988, 786, 1212]",0 0.589782 0.613839 0.379960 0.125000,images/train/bangle_comp_034_2.jpg,labels/train/bangle_comp_034_2.txt,qa/overlays/train/bangle_comp_034_2.jpg
bangle_comp_035_1,test,bangle_gpt_035.png,35,1,imperial_green,96.435,1.0,-0.818,0.0,none,none,"[185, 604, 724, 980]",0 0.450893 0.441964 0.534722 0.209821,images/test/bangle_comp_035_1.jpg,labels/test/bangle_comp_035_1.txt,qa/overlays/test/bangle_comp_035_1.jpg
bangle_comp_035_2,test,bangle_gpt_035.png,35,2,yellow_honey,78.766,0.8878,-13.801,0.0,bottom,red_orange,"[271, 932, 705, 1175]",0 0.484127 0.587891 0.430556 0.135603,images/test/bangle_comp_035_2.jpg,labels/test/bangle_comp_035_2.txt,qa/overlays/test/bangle_comp_035_2.jpg
bangle_comp_036_1,train,bangle_gpt_036.png,36,1,lavender_purple,88.866,1.0,-14.42,0.0,right,red_orange,"[156, 896, 682, 1209]",0 0.415675 0.587333 0.521825 0.174665,images/train/bangle_comp_036_1.jpg,labels/train/bangle_comp_036_1.txt,qa/overlays/train/bangle_comp_036_1.jpg
bangle_comp_036_2,train,bangle_gpt_036.png,36,2,black_ink,72.339,0.8037,5.983,0.0,left,red_orange,"[443, 852, 774, 1084]",0 0.603671 0.540179 0.328373 0.129464,images/train/bangle_comp_036_2.jpg,labels/train/bangle_comp_036_2.txt,qa/overlays/train/bangle_comp_036_2.jpg
bangle_comp_037_1,train,bangle_gpt_037.png,37,1,icy_white,71.72,1.0,-25.506,1.248,none,red_orange,"[233, 835, 606, 1099]",0 0.416171 0.539621 0.370040 0.147321,images/train/bangle_comp_037_1.jpg,labels/train/bangle_comp_037_1.txt,qa/overlays/train/bangle_comp_037_1.jpg
bangle_comp_037_2,train,bangle_gpt_037.png,37,2,blue_water,76.445,1.0,-16.669,0.589,none,red_orange,"[373, 810, 767, 1038]",0 0.565476 0.515625 0.390873 0.127232,images/train/bangle_comp_037_2.jpg,labels/train/bangle_comp_037_2.txt,qa/overlays/train/bangle_comp_037_2.jpg
bangle_comp_038_1,train,bangle_gpt_038.png,38,1,bean_green,70.811,1.0,-18.763,1.297,bottom,red_orange,"[277, 920, 626, 1164]",0 0.447917 0.581473 0.346230 0.136161,images/train/bangle_comp_038_1.jpg,labels/train/bangle_comp_038_1.txt,qa/overlays/train/bangle_comp_038_1.jpg
bangle_comp_038_2,train,bangle_gpt_038.png,38,2,dark_green,81.134,1.0,-3.296,0.0,none,red_orange,"[408, 989, 817, 1230]",0 0.607639 0.619141 0.405754 0.134487,images/train/bangle_comp_038_2.jpg,labels/train/bangle_comp_038_2.txt,qa/overlays/train/bangle_comp_038_2.jpg
bangle_comp_039_1,train,bangle_gpt_039.png,39,1,white_green_flower,88.623,1.0,4.913,0.0,none,none,"[373, 670, 896, 975]",0 0.629464 0.458984 0.518849 0.170201,images/train/bangle_comp_039_1.jpg,labels/train/bangle_comp_039_1.txt,qa/overlays/train/bangle_comp_039_1.jpg
bangle_comp_039_2,train,bangle_gpt_039.png,39,2,apple_green,78.183,1.0,-30.856,0.0,left,red_orange,"[316, 936, 659, 1213]",0 0.483631 0.599609 0.340278 0.154576,images/train/bangle_comp_039_2.jpg,labels/train/bangle_comp_039_2.txt,qa/overlays/train/bangle_comp_039_2.jpg
bangle_comp_040_1,test,bangle_gpt_040.png,40,1,imperial_green,86.869,1.0,29.318,0.0,none,red_orange,"[181, 881, 648, 1248]",0 0.411210 0.594029 0.463294 0.204799,images/test/bangle_comp_040_1.jpg,labels/test/bangle_comp_040_1.txt,qa/overlays/test/bangle_comp_040_1.jpg
bangle_comp_040_2,test,bangle_gpt_040.png,40,2,yellow_honey,93.779,1.0,13.51,0.0,none,none,"[234, 839, 766, 1185]",0 0.496032 0.564732 0.527778 0.193080,images/test/bangle_comp_040_2.jpg,labels/test/bangle_comp_040_2.txt,qa/overlays/test/bangle_comp_040_2.jpg
bangle_comp_041_1,test,bangle_gpt_041.png,41,1,lavender_purple,90.798,1.0,6.769,0.0,none,none,"[195, 774, 685, 1097]",0 0.436508 0.522042 0.486111 0.180246,images/test/bangle_comp_041_1.jpg,labels/test/bangle_comp_041_1.txt,qa/overlays/test/bangle_comp_041_1.jpg
bangle_comp_041_2,test,bangle_gpt_041.png,41,2,black_ink,83.41,1.0,33.297,0.0,none,red_orange,"[303, 744, 708, 1064]",0 0.501488 0.504464 0.401786 0.178571,images/test/bangle_comp_041_2.jpg,labels/test/bangle_comp_041_2.txt,qa/overlays/test/bangle_comp_041_2.jpg
bangle_comp_042_1,train,bangle_gpt_042.png,42,1,icy_white,71.747,1.0,9.928,1.637,none,red_orange,"[392, 725, 871, 955]",0 0.626488 0.468750 0.475198 0.128348,images/train/bangle_comp_042_1.jpg,labels/train/bangle_comp_042_1.txt,qa/overlays/train/bangle_comp_042_1.jpg
bangle_comp_042_2,train,bangle_gpt_042.png,42,2,blue_water,87.142,1.0,21.921,0.0,bottom,none,"[380, 656, 855, 1009]",0 0.612599 0.464565 0.471230 0.196987,images/train/bangle_comp_042_2.jpg,labels/train/bangle_comp_042_2.txt,qa/overlays/train/bangle_comp_042_2.jpg
bangle_comp_043_1,train,bangle_gpt_043.png,43,1,bean_green,77.928,1.0,28.335,0.0,none,none,"[444, 882, 812, 1164]",0 0.623016 0.570871 0.365079 0.157366,images/train/bangle_comp_043_1.jpg,labels/train/bangle_comp_043_1.txt,qa/overlays/train/bangle_comp_043_1.jpg
bangle_comp_043_2,train,bangle_gpt_043.png,43,2,dark_green,80.162,1.0,-33.745,0.411,none,none,"[371, 895, 782, 1241]",0 0.571925 0.595982 0.407738 0.193080,images/train/bangle_comp_043_2.jpg,labels/train/bangle_comp_043_2.txt,qa/overlays/train/bangle_comp_043_2.jpg
bangle_comp_044_1,train,bangle_gpt_044.png,44,1,white_green_flower,75.71,0.84,2.549,0.959,left,red_orange,"[342, 878, 852, 1140]",0 0.592262 0.563058 0.505952 0.146205,images/train/bangle_comp_044_1.jpg,labels/train/bangle_comp_044_1.txt,qa/overlays/train/bangle_comp_044_1.jpg
bangle_comp_044_2,train,bangle_gpt_044.png,44,2,apple_green,68.279,1.0,-20.778,1.404,none,none,"[460, 830, 799, 1062]",0 0.624504 0.527902 0.336310 0.129464,images/train/bangle_comp_044_2.jpg,labels/train/bangle_comp_044_2.txt,qa/overlays/train/bangle_comp_044_2.jpg
