source_dataset,source_split,split,source_image,image,label
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_011_1.jpg,images/train/composite_v2__train__bangle_comp_011_1.jpg,labels/train/composite_v2__train__bangle_comp_011_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_011_2.jpg,images/train/composite_v2__train__bangle_comp_011_2.jpg,labels/train/composite_v2__train__bangle_comp_011_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_012_1.jpg,images/train/composite_v2__train__bangle_comp_012_1.jpg,labels/train/composite_v2__train__bangle_comp_012_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_012_2.jpg,images/train/composite_v2__train__bangle_comp_012_2.jpg,labels/train/composite_v2__train__bangle_comp_012_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_013_1.jpg,images/train/composite_v2__train__bangle_comp_013_1.jpg,labels/train/composite_v2__train__bangle_comp_013_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_013_2.jpg,images/train/composite_v2__train__bangle_comp_013_2.jpg,labels/train/composite_v2__train__bangle_comp_013_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_014_1.jpg,images/train/composite_v2__train__bangle_comp_014_1.jpg,labels/train/composite_v2__train__bangle_comp_014_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_014_2.jpg,images/train/composite_v2__train__bangle_comp_014_2.jpg,labels/train/composite_v2__train__bangle_comp_014_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_017_1.jpg,images/train/composite_v2__train__bangle_comp_017_1.jpg,labels/train/composite_v2__train__bangle_comp_017_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_017_2.jpg,images/train/composite_v2__train__bangle_comp_017_2.jpg,labels/train/composite_v2__train__bangle_comp_017_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_018_1.jpg,images/train/composite_v2__train__bangle_comp_018_1.jpg,labels/train/composite_v2__train__bangle_comp_018_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_018_2.jpg,images/train/composite_v2__train__bangle_comp_018_2.jpg,labels/train/composite_v2__train__bangle_comp_018_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_019_1.jpg,images/train/composite_v2__train__bangle_comp_019_1.jpg,labels/train/composite_v2__train__bangle_comp_019_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_019_2.jpg,images/train/composite_v2__train__bangle_comp_019_2.jpg,labels/train/composite_v2__train__bangle_comp_019_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_020_1.jpg,images/train/composite_v2__train__bangle_comp_020_1.jpg,labels/train/composite_v2__train__bangle_comp_020_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_020_2.jpg,images/train/composite_v2__train__bangle_comp_020_2.jpg,labels/train/composite_v2__train__bangle_comp_020_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_021_1.jpg,images/train/composite_v2__train__bangle_comp_021_1.jpg,labels/train/composite_v2__train__bangle_comp_021_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_021_2.jpg,images/train/composite_v2__train__bangle_comp_021_2.jpg,labels/train/composite_v2__train__bangle_comp_021_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_026_1.jpg,images/train/composite_v2__train__bangle_comp_026_1.jpg,labels/train/composite_v2__train__bangle_comp_026_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_026_2.jpg,images/train/composite_v2__train__bangle_comp_026_2.jpg,labels/train/composite_v2__train__bangle_comp_026_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_027_1.jpg,images/train/composite_v2__train__bangle_comp_027_1.jpg,labels/train/composite_v2__train__bangle_comp_027_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_027_2.jpg,images/train/composite_v2__train__bangle_comp_027_2.jpg,labels/train/composite_v2__train__bangle_comp_027_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_029_1.jpg,images/train/composite_v2__train__bangle_comp_029_1.jpg,labels/train/composite_v2__train__bangle_comp_029_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_029_2.jpg,images/train/composite_v2__train__bangle_comp_029_2.jpg,labels/train/composite_v2__train__bangle_comp_029_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_030_1.jpg,images/train/composite_v2__train__bangle_comp_030_1.jpg,labels/train/composite_v2__train__bangle_comp_030_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_030_2.jpg,images/train/composite_v2__train__bangle_comp_030_2.jpg,labels/train/composite_v2__train__bangle_comp_030_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_031_1.jpg,images/train/composite_v2__train__bangle_comp_031_1.jpg,labels/train/composite_v2__train__bangle_comp_031_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_031_2.jpg,images/train/composite_v2__train__bangle_comp_031_2.jpg,labels/train/composite_v2__train__bangle_comp_031_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_034_1.jpg,images/train/composite_v2__train__bangle_comp_034_1.jpg,labels/train/composite_v2__train__bangle_comp_034_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_034_2.jpg,images/train/composite_v2__train__bangle_comp_034_2.jpg,labels/train/composite_v2__train__bangle_comp_034_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_036_1.jpg,images/train/composite_v2__train__bangle_comp_036_1.jpg,labels/train/composite_v2__train__bangle_comp_036_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_036_2.jpg,images/train/composite_v2__train__bangle_comp_036_2.jpg,labels/train/composite_v2__train__bangle_comp_036_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_037_1.jpg,images/train/composite_v2__train__bangle_comp_037_1.jpg,labels/train/composite_v2__train__bangle_comp_037_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_037_2.jpg,images/train/composite_v2__train__bangle_comp_037_2.jpg,labels/train/composite_v2__train__bangle_comp_037_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_038_1.jpg,images/train/composite_v2__train__bangle_comp_038_1.jpg,labels/train/composite_v2__train__bangle_comp_038_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_038_2.jpg,images/train/composite_v2__train__bangle_comp_038_2.jpg,labels/train/composite_v2__train__bangle_comp_038_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_039_1.jpg,images/train/composite_v2__train__bangle_comp_039_1.jpg,labels/train/composite_v2__train__bangle_comp_039_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_039_2.jpg,images/train/composite_v2__train__bangle_comp_039_2.jpg,labels/train/composite_v2__train__bangle_comp_039_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_042_1.jpg,images/train/composite_v2__train__bangle_comp_042_1.jpg,labels/train/composite_v2__train__bangle_comp_042_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_042_2.jpg,images/train/composite_v2__train__bangle_comp_042_2.jpg,labels/train/composite_v2__train__bangle_comp_042_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_043_1.jpg,images/train/composite_v2__train__bangle_comp_043_1.jpg,labels/train/composite_v2__train__bangle_comp_043_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_043_2.jpg,images/train/composite_v2__train__bangle_comp_043_2.jpg,labels/train/composite_v2__train__bangle_comp_043_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_044_1.jpg,images/train/composite_v2__train__bangle_comp_044_1.jpg,labels/train/composite_v2__train__bangle_comp_044_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_044_2.jpg,images/train/composite_v2__train__bangle_comp_044_2.jpg,labels/train/composite_v2__train__bangle_comp_044_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_046_1.jpg,images/train/composite_v2__train__bangle_comp_046_1.jpg,labels/train/composite_v2__train__bangle_comp_046_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_046_2.jpg,images/train/composite_v2__train__bangle_comp_046_2.jpg,labels/train/composite_v2__train__bangle_comp_046_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_047_1.jpg,images/train/composite_v2__train__bangle_comp_047_1.jpg,labels/train/composite_v2__train__bangle_comp_047_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_047_2.jpg,images/train/composite_v2__train__bangle_comp_047_2.jpg,labels/train/composite_v2__train__bangle_comp_047_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_048_1.jpg,images/train/composite_v2__train__bangle_comp_048_1.jpg,labels/train/composite_v2__train__bangle_comp_048_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_048_2.jpg,images/train/composite_v2__train__bangle_comp_048_2.jpg,labels/train/composite_v2__train__bangle_comp_048_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_049_1.jpg,images/train/composite_v2__train__bangle_comp_049_1.jpg,labels/train/composite_v2__train__bangle_comp_049_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_049_2.jpg,images/train/composite_v2__train__bangle_comp_049_2.jpg,labels/train/composite_v2__train__bangle_comp_049_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_050_1.jpg,images/train/composite_v2__train__bangle_comp_050_1.jpg,labels/train/composite_v2__train__bangle_comp_050_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_050_2.jpg,images/train/composite_v2__train__bangle_comp_050_2.jpg,labels/train/composite_v2__train__bangle_comp_050_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_051_1.jpg,images/train/composite_v2__train__bangle_comp_051_1.jpg,labels/train/composite_v2__train__bangle_comp_051_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_051_2.jpg,images/train/composite_v2__train__bangle_comp_051_2.jpg,labels/train/composite_v2__train__bangle_comp_051_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_053_1.jpg,images/train/composite_v2__train__bangle_comp_053_1.jpg,labels/train/composite_v2__train__bangle_comp_053_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_053_2.jpg,images/train/composite_v2__train__bangle_comp_053_2.jpg,labels/train/composite_v2__train__bangle_comp_053_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_054_1.jpg,images/train/composite_v2__train__bangle_comp_054_1.jpg,labels/train/composite_v2__train__bangle_comp_054_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_054_2.jpg,images/train/composite_v2__train__bangle_comp_054_2.jpg,labels/train/composite_v2__train__bangle_comp_054_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_055_1.jpg,images/train/composite_v2__train__bangle_comp_055_1.jpg,labels/train/composite_v2__train__bangle_comp_055_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_055_2.jpg,images/train/composite_v2__train__bangle_comp_055_2.jpg,labels/train/composite_v2__train__bangle_comp_055_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_058_1.jpg,images/train/composite_v2__train__bangle_comp_058_1.jpg,labels/train/composite_v2__train__bangle_comp_058_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_058_2.jpg,images/train/composite_v2__train__bangle_comp_058_2.jpg,labels/train/composite_v2__train__bangle_comp_058_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_060_1.jpg,images/train/composite_v2__train__bangle_comp_060_1.jpg,labels/train/composite_v2__train__bangle_comp_060_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_060_2.jpg,images/train/composite_v2__train__bangle_comp_060_2.jpg,labels/train/composite_v2__train__bangle_comp_060_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_061_1.jpg,images/train/composite_v2__train__bangle_comp_061_1.jpg,labels/train/composite_v2__train__bangle_comp_061_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_061_2.jpg,images/train/composite_v2__train__bangle_comp_061_2.jpg,labels/train/composite_v2__train__bangle_comp_061_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_062_1.jpg,images/train/composite_v2__train__bangle_comp_062_1.jpg,labels/train/composite_v2__train__bangle_comp_062_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_062_2.jpg,images/train/composite_v2__train__bangle_comp_062_2.jpg,labels/train/composite_v2__train__bangle_comp_062_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_063_1.jpg,images/train/composite_v2__train__bangle_comp_063_1.jpg,labels/train/composite_v2__train__bangle_comp_063_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_063_2.jpg,images/train/composite_v2__train__bangle_comp_063_2.jpg,labels/train/composite_v2__train__bangle_comp_063_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_064_1.jpg,images/train/composite_v2__train__bangle_comp_064_1.jpg,labels/train/composite_v2__train__bangle_comp_064_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_064_2.jpg,images/train/composite_v2__train__bangle_comp_064_2.jpg,labels/train/composite_v2__train__bangle_comp_064_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_065_1.jpg,images/train/composite_v2__train__bangle_comp_065_1.jpg,labels/train/composite_v2__train__bangle_comp_065_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_065_2.jpg,images/train/composite_v2__train__bangle_comp_065_2.jpg,labels/train/composite_v2__train__bangle_comp_065_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_066_1.jpg,images/train/composite_v2__train__bangle_comp_066_1.jpg,labels/train/composite_v2__train__bangle_comp_066_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_066_2.jpg,images/train/composite_v2__train__bangle_comp_066_2.jpg,labels/train/composite_v2__train__bangle_comp_066_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_068_1.jpg,images/train/composite_v2__train__bangle_comp_068_1.jpg,labels/train/composite_v2__train__bangle_comp_068_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_068_2.jpg,images/train/composite_v2__train__bangle_comp_068_2.jpg,labels/train/composite_v2__train__bangle_comp_068_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_070_1.jpg,images/train/composite_v2__train__bangle_comp_070_1.jpg,labels/train/composite_v2__train__bangle_comp_070_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_070_2.jpg,images/train/composite_v2__train__bangle_comp_070_2.jpg,labels/train/composite_v2__train__bangle_comp_070_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_071_1.jpg,images/train/composite_v2__train__bangle_comp_071_1.jpg,labels/train/composite_v2__train__bangle_comp_071_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_071_2.jpg,images/train/composite_v2__train__bangle_comp_071_2.jpg,labels/train/composite_v2__train__bangle_comp_071_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_076_1.jpg,images/train/composite_v2__train__bangle_comp_076_1.jpg,labels/train/composite_v2__train__bangle_comp_076_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_076_2.jpg,images/train/composite_v2__train__bangle_comp_076_2.jpg,labels/train/composite_v2__train__bangle_comp_076_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_077_1.jpg,images/train/composite_v2__train__bangle_comp_077_1.jpg,labels/train/composite_v2__train__bangle_comp_077_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_077_2.jpg,images/train/composite_v2__train__bangle_comp_077_2.jpg,labels/train/composite_v2__train__bangle_comp_077_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_080_1.jpg,images/train/composite_v2__train__bangle_comp_080_1.jpg,labels/train/composite_v2__train__bangle_comp_080_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_080_2.jpg,images/train/composite_v2__train__bangle_comp_080_2.jpg,labels/train/composite_v2__train__bangle_comp_080_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_081_1.jpg,images/train/composite_v2__train__bangle_comp_081_1.jpg,labels/train/composite_v2__train__bangle_comp_081_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_081_2.jpg,images/train/composite_v2__train__bangle_comp_081_2.jpg,labels/train/composite_v2__train__bangle_comp_081_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_083_1.jpg,images/train/composite_v2__train__bangle_comp_083_1.jpg,labels/train/composite_v2__train__bangle_comp_083_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_083_2.jpg,images/train/composite_v2__train__bangle_comp_083_2.jpg,labels/train/composite_v2__train__bangle_comp_083_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_084_1.jpg,images/train/composite_v2__train__bangle_comp_084_1.jpg,labels/train/composite_v2__train__bangle_comp_084_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_084_2.jpg,images/train/composite_v2__train__bangle_comp_084_2.jpg,labels/train/composite_v2__train__bangle_comp_084_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_085_1.jpg,images/train/composite_v2__train__bangle_comp_085_1.jpg,labels/train/composite_v2__train__bangle_comp_085_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_085_2.jpg,images/train/composite_v2__train__bangle_comp_085_2.jpg,labels/train/composite_v2__train__bangle_comp_085_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_087_1.jpg,images/train/composite_v2__train__bangle_comp_087_1.jpg,labels/train/composite_v2__train__bangle_comp_087_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_087_2.jpg,images/train/composite_v2__train__bangle_comp_087_2.jpg,labels/train/composite_v2__train__bangle_comp_087_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_088_1.jpg,images/train/composite_v2__train__bangle_comp_088_1.jpg,labels/train/composite_v2__train__bangle_comp_088_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_088_2.jpg,images/train/composite_v2__train__bangle_comp_088_2.jpg,labels/train/composite_v2__train__bangle_comp_088_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_089_1.jpg,images/train/composite_v2__train__bangle_comp_089_1.jpg,labels/train/composite_v2__train__bangle_comp_089_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_089_2.jpg,images/train/composite_v2__train__bangle_comp_089_2.jpg,labels/train/composite_v2__train__bangle_comp_089_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_090_1.jpg,images/train/composite_v2__train__bangle_comp_090_1.jpg,labels/train/composite_v2__train__bangle_comp_090_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_090_2.jpg,images/train/composite_v2__train__bangle_comp_090_2.jpg,labels/train/composite_v2__train__bangle_comp_090_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_091_1.jpg,images/train/composite_v2__train__bangle_comp_091_1.jpg,labels/train/composite_v2__train__bangle_comp_091_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_091_2.jpg,images/train/composite_v2__train__bangle_comp_091_2.jpg,labels/train/composite_v2__train__bangle_comp_091_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_093_1.jpg,images/train/composite_v2__train__bangle_comp_093_1.jpg,labels/train/composite_v2__train__bangle_comp_093_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_093_2.jpg,images/train/composite_v2__train__bangle_comp_093_2.jpg,labels/train/composite_v2__train__bangle_comp_093_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_095_1.jpg,images/train/composite_v2__train__bangle_comp_095_1.jpg,labels/train/composite_v2__train__bangle_comp_095_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_095_2.jpg,images/train/composite_v2__train__bangle_comp_095_2.jpg,labels/train/composite_v2__train__bangle_comp_095_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_097_1.jpg,images/train/composite_v2__train__bangle_comp_097_1.jpg,labels/train/composite_v2__train__bangle_comp_097_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_097_2.jpg,images/train/composite_v2__train__bangle_comp_097_2.jpg,labels/train/composite_v2__train__bangle_comp_097_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_098_1.jpg,images/train/composite_v2__train__bangle_comp_098_1.jpg,labels/train/composite_v2__train__bangle_comp_098_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_098_2.jpg,images/train/composite_v2__train__bangle_comp_098_2.jpg,labels/train/composite_v2__train__bangle_comp_098_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_099_1.jpg,images/train/composite_v2__train__bangle_comp_099_1.jpg,labels/train/composite_v2__train__bangle_comp_099_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_099_2.jpg,images/train/composite_v2__train__bangle_comp_099_2.jpg,labels/train/composite_v2__train__bangle_comp_099_2.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_008_1.jpg,images/val/composite_v2__val__bangle_comp_008_1.jpg,labels/val/composite_v2__val__bangle_comp_008_1.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_008_2.jpg,images/val/composite_v2__val__bangle_comp_008_2.jpg,labels/val/composite_v2__val__bangle_comp_008_2.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_016_1.jpg,images/val/composite_v2__val__bangle_comp_016_1.jpg,labels/val/composite_v2__val__bangle_comp_016_1.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_016_2.jpg,images/val/composite_v2__val__bangle_comp_016_2.jpg,labels/val/composite_v2__val__bangle_comp_016_2.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_028_1.jpg,images/val/composite_v2__val__bangle_comp_028_1.jpg,labels/val/composite_v2__val__bangle_comp_028_1.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_028_2.jpg,images/val/composite_v2__val__bangle_comp_028_2.jpg,labels/val/composite_v2__val__bangle_comp_028_2.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_032_1.jpg,images/val/composite_v2__val__bangle_comp_032_1.jpg,labels/val/composite_v2__val__bangle_comp_032_1.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_032_2.jpg,images/val/composite_v2__val__bangle_comp_032_2.jpg,labels/val/composite_v2__val__bangle_comp_032_2.txt
composite_v2,val,val,data/jade_bangle_composite_200_v2/images/val/bangle_comp_059_1.jpg,images/val/composite_v2__val__bangle_comp_059_1.jpg,labels/val/composite_v2__val__bangle_comp_059_1.txt
