split,image,label,source_sample,source_image,source_kind,source_confidence,bbox_xyxy,bbox_yolo,angle,scale_x,scale_y,shear,tx,ty
train,images/train/low_conf_typical_02_01.jpg,labels/train/low_conf_typical_02_01.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"40.27,393.11,460.00,825.78",0 0.542587 0.595161 0.910487 0.422527,-2.8135,0.957,0.9926,3.2572,8.9823,27.8966
train,images/train/low_conf_typical_02_02.jpg,labels/train/low_conf_typical_02_02.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"54.52,352.86,460.00,763.29",0 0.558043 0.544996 0.879575 0.400817,0.2131,0.956,0.9795,0.2992,9.0068,-23.7576
train,images/train/low_conf_typical_02_03.jpg,labels/train/low_conf_typical_02_03.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"13.30,351.67,456.85,778.11",0 0.509927 0.551648 0.962153 0.416444,3.2119,1.0023,0.9655,0.4477,-10.7206,-16.8517
train,images/train/low_conf_typical_02_04.jpg,labels/train/low_conf_typical_02_04.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"2.75,339.43,459.11,787.31",0 0.500939 0.550168 0.989927 0.437386,2.1141,0.9888,1.0384,-2.8548,-11.5316,-23.0825
train,images/train/low_conf_typical_02_05.jpg,labels/train/low_conf_typical_02_05.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"25.63,358.20,460.00,794.71",0 0.526709 0.562941 0.942243 0.426279,-1.9239,1.0105,1.0129,2.0969,0.1181,-6.9381
train,images/train/low_conf_typical_02_06.jpg,labels/train/low_conf_typical_02_06.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"19.25,373.94,460.00,815.24",0 0.519792 0.580654 0.956077 0.430949,-3.1913,1.0555,0.9982,-0.7423,-1.6824,12.642
train,images/train/low_conf_typical_02_07.jpg,labels/train/low_conf_typical_02_07.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"35.15,393.41,460.00,799.98",0 0.537035 0.582712 0.921592 0.397040,-0.3162,0.9672,0.9681,-3.3241,5.8518,15.8167
train,images/train/low_conf_typical_02_08.jpg,labels/train/low_conf_typical_02_08.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"29.60,363.18,460.00,802.05",0 0.531024 0.568960 0.933613 0.428585,-3.8809,1.0082,0.9888,3.9657,12.156,1.942
train,images/train/low_conf_typical_02_09.jpg,labels/train/low_conf_typical_02_09.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"12.60,366.07,460.00,831.95",0 0.512581 0.584972 0.970499 0.454957,3.3924,1.0679,1.0496,3.6814,-11.115,10.921
val,images/val/low_conf_typical_02_10.jpg,labels/val/low_conf_typical_02_10.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"30.61,343.03,459.22,799.87",0 0.531269 0.558056 0.929746 0.446141,-1.4952,0.9743,1.0671,-3.5291,-0.9981,-16.1829
train,images/train/low_conf_typical_03_01.jpg,labels/train/low_conf_typical_03_01.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"31.90,357.73,443.08,826.76",0 0.515163 0.578362 0.891916 0.458034,-3.808,0.9721,1.0556,-3.794,-11.0695,6.0909
train,images/train/low_conf_typical_03_02.jpg,labels/train/low_conf_typical_03_02.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"26.15,340.40,460.00,802.93",0 0.527273 0.558267 0.941116 0.451681,-3.329,1.0054,1.0546,3.9476,8.0695,-13.9386
train,images/train/low_conf_typical_03_03.jpg,labels/train/low_conf_typical_03_03.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"36.66,396.95,460.00,807.94",0 0.538682 0.588323 0.918298 0.401359,-0.4824,1.0216,0.9754,-2.3842,12.7036,21.1055
train,images/train/low_conf_typical_03_04.jpg,labels/train/low_conf_typical_03_04.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"15.13,330.91,460.00,781.95",0 0.515331 0.543390 0.965000 0.440469,-5.064,0.9549,1.0044,3.6817,-10.4605,-24.8587
train,images/train/low_conf_typical_03_05.jpg,labels/train/low_conf_typical_03_05.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"14.81,377.71,460.00,797.17",0 0.514982 0.573674 0.965698 0.409633,0.5085,1.0289,0.9958,-1.9653,-4.7701,4.3672
train,images/train/low_conf_typical_03_06.jpg,labels/train/low_conf_typical_03_06.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"35.07,361.56,460.00,812.30",0 0.536955 0.573174 0.921751 0.440183,0.6339,1.0311,1.0676,2.5988,8.9138,-1.3594
train,images/train/low_conf_typical_03_07.jpg,labels/train/low_conf_typical_03_07.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"15.15,347.48,442.21,790.42",0 0.496049 0.555616 0.926366 0.432561,-1.0076,0.9832,1.0428,-2.3805,-18.325,-17.0479
train,images/train/low_conf_typical_03_08.jpg,labels/train/low_conf_typical_03_08.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"9.32,356.31,460.00,816.04",0 0.509025 0.572438 0.977611 0.448949,2.54,1.0664,1.0554,-1.5173,5.666,-1.7189
train,images/train/low_conf_typical_03_09.jpg,labels/train/low_conf_typical_03_09.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"30.21,381.94,450.27,819.18",0 0.521126 0.586482 0.911192 0.426994,-0.7879,0.9607,1.0342,0.9303,-10.3378,15.1607
val,images/val/low_conf_typical_03_10.jpg,labels/val/low_conf_typical_03_10.txt,3,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.206,"0.00,342.19,460.00,793.19",0 0.498915 0.554387 0.997831 0.440432,4.8789,1.0157,0.9985,-1.5626,-17.1343,-16.6143
train,images/train/low_conf_typical_04_01.jpg,labels/train/low_conf_typical_04_01.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"151.01,247.00,384.88,754.79",0 0.581229 0.489154 0.507314 0.495889,-5.3334,1.0487,0.9804,-0.6666,18.3365,5.4232
train,images/train/low_conf_typical_04_02.jpg,labels/train/low_conf_typical_04_02.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"132.23,276.28,367.64,771.01",0 0.542159 0.511374 0.510666 0.483133,2.4743,1.0349,0.9735,-2.6265,-1.9675,25.3141
train,images/train/low_conf_typical_04_03.jpg,labels/train/low_conf_typical_04_03.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"132.80,225.34,344.79,746.21",0 0.517994 0.474392 0.459852 0.508662,0.9907,1.0442,1.0332,-1.0151,-12.5478,-11.1081
train,images/train/low_conf_typical_04_04.jpg,labels/train/low_conf_typical_04_04.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"107.91,245.08,368.56,785.57",0 0.516784 0.503249 0.565400 0.527818,-4.149,1.0355,1.058,3.3022,-10.2876,20.5202
train,images/train/low_conf_typical_04_05.jpg,labels/train/low_conf_typical_04_05.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"144.14,216.89,367.91,740.37",0 0.555366 0.467412 0.485415 0.511204,3.4945,0.9643,1.0264,-1.5287,5.4618,-19.1959
train,images/train/low_conf_typical_04_06.jpg,labels/train/low_conf_typical_04_06.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"160.43,261.38,358.69,749.87",0 0.563038 0.493775 0.430052 0.477044,3.8149,1.0543,0.9471,3.464,8.5175,6.4705
train,images/train/low_conf_typical_04_07.jpg,labels/train/low_conf_typical_04_07.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"136.10,224.94,370.43,717.03",0 0.549379 0.459947 0.508319 0.480563,-2.9097,1.014,0.9664,2.5692,4.4544,-25.5933
train,images/train/low_conf_typical_04_08.jpg,labels/train/low_conf_typical_04_08.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"143.71,236.55,374.43,720.54",0 0.561972 0.467329 0.500489 0.472655,2.4166,1.0345,0.9521,-2.2436,7.3112,-20.0813
train,images/train/low_conf_typical_04_09.jpg,labels/train/low_conf_typical_04_09.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"158.80,211.89,372.55,725.11",0 0.576297 0.457518 0.463668 0.501198,-5.3677,0.9465,0.9943,-0.9066,18.0066,-26.9342
val,images/val/low_conf_typical_04_10.jpg,labels/val/low_conf_typical_04_10.txt,4,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-9d2da21d1878.jpg,low-conf,0.245,"143.90,242.73,334.98,782.20",0 0.519392 0.500451 0.414478 0.526822,3.2206,1.0237,1.0534,3.3605,-10.8952,15.1461
train,images/train/low_conf_typical_05_01.jpg,labels/train/low_conf_typical_05_01.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"9.96,242.25,383.76,685.85",0 0.427036 0.453175 0.810846 0.433200,4.4853,0.9485,0.9463,-0.5777,9.6524,26.5601
train,images/train/low_conf_typical_05_02.jpg,labels/train/low_conf_typical_05_02.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,222.88,380.14,687.56",0 0.412300 0.444550 0.824601 0.453788,-1.1161,1.0604,1.0333,-0.7036,15.2723,19.556
train,images/train/low_conf_typical_05_03.jpg,labels/train/low_conf_typical_05_03.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"3.34,188.78,391.63,634.33",0 0.428377 0.401909 0.842284 0.435113,1.4257,1.0428,0.9865,-0.7998,18.7314,-25.223
train,images/train/low_conf_typical_05_04.jpg,labels/train/low_conf_typical_05_04.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,192.67,350.99,658.31",0 0.380688 0.415518 0.761376 0.454724,-3.8172,0.9685,1.0054,2.5258,-17.2642,-14.9489
train,images/train/low_conf_typical_05_05.jpg,labels/train/low_conf_typical_05_05.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,215.43,389.39,683.10",0 0.422335 0.438735 0.844670 0.456701,-2.2109,1.056,1.0262,2.2011,14.6821,11.8433
train,images/train/low_conf_typical_05_06.jpg,labels/train/low_conf_typical_05_06.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,203.90,352.20,672.18",0 0.381991 0.427774 0.763983 0.457301,2.8025,0.9909,1.0194,1.0553,-11.9226,4.9307
train,images/train/low_conf_typical_05_07.jpg,labels/train/low_conf_typical_05_07.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,208.39,347.22,672.86",0 0.376589 0.430300 0.753178 0.453581,1.109,1.0046,1.0333,2.1199,-12.2159,7.1018
train,images/train/low_conf_typical_05_08.jpg,labels/train/low_conf_typical_05_08.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,180.33,367.43,672.75",0 0.398514 0.416543 0.797028 0.480871,-5.0636,1.0108,1.0461,0.7429,-5.1352,-12.1547
train,images/train/low_conf_typical_05_09.jpg,labels/train/low_conf_typical_05_09.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"0.00,220.06,372.36,685.21",0 0.403858 0.442029 0.807715 0.454246,-5.3108,0.9653,0.9823,-0.6724,9.4082,9.3128
val,images/val/low_conf_typical_05_10.jpg,labels/val/low_conf_typical_05_10.txt,5,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-10e2bd10cbf4.jpg,low-conf,0.268,"18.62,224.11,370.97,688.00",0 0.422546 0.445364 0.764307 0.453014,2.0319,0.9767,1.02,1.4408,14.6462,22.3094
train,images/train/low_conf_typical_07_01.jpg,labels/train/low_conf_typical_07_01.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"32.02,150.93,434.04,575.68",0 0.505491 0.354791 0.872072 0.414789,1.226,1.0209,1.0212,-1.4601,-0.6055,-11.5992
train,images/train/low_conf_typical_07_02.jpg,labels/train/low_conf_typical_07_02.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"55.42,177.37,422.41,602.35",0 0.518248 0.380720 0.796081 0.415017,2.1452,0.975,1.007,1.8826,10.9347,13.27
train,images/train/low_conf_typical_07_03.jpg,labels/train/low_conf_typical_07_03.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"49.18,173.40,451.63,605.25",0 0.543188 0.380200 0.872993 0.421729,-0.3564,1.0411,1.0517,-2.0013,19.2103,18.5611
train,images/train/low_conf_typical_07_04.jpg,labels/train/low_conf_typical_07_04.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"26.51,187.33,401.99,609.47",0 0.464749 0.389066 0.814480 0.412246,-2.0671,0.9961,1.0007,-1.7256,-12.2392,20.7188
train,images/train/low_conf_typical_07_05.jpg,labels/train/low_conf_typical_07_05.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"30.62,155.40,397.20,569.47",0 0.464014 0.353944 0.795170 0.404363,4.145,0.9563,0.95,2.7964,-16.5194,-21.6534
train,images/train/low_conf_typical_07_06.jpg,labels/train/low_conf_typical_07_06.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"6.73,156.47,422.20,587.31",0 0.465217 0.363175 0.901235 0.420743,-4.7229,1.0362,0.9795,-0.6396,-3.3378,-9.1783
train,images/train/low_conf_typical_07_07.jpg,labels/train/low_conf_typical_07_07.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"24.25,158.52,425.64,585.25",0 0.487948 0.363170 0.870690 0.416726,4.435,0.9881,0.9784,-0.1926,-12.9787,-8.9161
train,images/train/low_conf_typical_07_08.jpg,labels/train/low_conf_typical_07_08.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"16.85,175.20,423.79,579.57",0 0.477913 0.368541 0.882736 0.394895,-0.1562,1.0332,0.9878,-2.9605,-13.3487,-1.9545
train,images/train/low_conf_typical_07_09.jpg,labels/train/low_conf_typical_07_09.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"41.75,174.47,442.44,594.09",0 0.525145 0.375274 0.869174 0.409780,-1.2023,1.0333,1.0071,-3.0911,10.4596,7.5684
val,images/val/low_conf_typical_07_10.jpg,labels/val/low_conf_typical_07_10.txt,7,D:\JLAO\uploads\frames\live-5837325d545c\phone-380e7dc2a83f.jpg,low-conf,0.251,"16.85,156.80,424.28,570.08",0 0.478444 0.354922 0.883807 0.403600,1.664,1.0579,0.983,3.2563,-2.8533,-16.299
train,images/train/low_conf_typical_08_01.jpg,labels/train/low_conf_typical_08_01.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,8.77,433.25,659.43",0 0.469903 0.326266 0.939806 0.635410,-5.0348,0.9917,1.0457,-2.6643,-5.1545,-20.7383
train,images/train/low_conf_typical_08_02.jpg,labels/train/low_conf_typical_08_02.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,64.49,460.00,682.41",0 0.498915 0.364697 0.997831 0.603441,1.6848,1.067,1.032,-0.3042,19.9713,17.9631
train,images/train/low_conf_typical_08_03.jpg,labels/train/low_conf_typical_08_03.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,93.84,444.30,659.25",0 0.481891 0.367722 0.963783 0.552153,0.5323,1.0642,0.9573,2.7296,-8.746,9.6245
train,images/train/low_conf_typical_08_04.jpg,labels/train/low_conf_typical_08_04.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"8.20,51.59,459.57,703.16",0 0.507344 0.368534 0.979109 0.636299,4.6965,0.9579,1.0554,1.3317,6.5383,25.9157
train,images/train/low_conf_typical_08_05.jpg,labels/train/low_conf_typical_08_05.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,89.50,438.30,665.60",0 0.475375 0.368701 0.950750 0.562605,0.6271,0.9973,0.9746,3.1295,-1.9203,13.2898
train,images/train/low_conf_typical_08_06.jpg,labels/train/low_conf_typical_08_06.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,39.12,429.48,670.85",0 0.465814 0.346664 0.931628 0.616916,-2.1619,0.9699,1.0528,1.4147,-8.276,1.5847
train,images/train/low_conf_typical_08_07.jpg,labels/train/low_conf_typical_08_07.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"10.12,57.95,455.37,641.09",0 0.504873 0.341327 0.965846 0.569468,1.0722,0.9682,0.9824,-1.3563,8.6498,-13.6397
train,images/train/low_conf_typical_08_08.jpg,labels/train/low_conf_typical_08_08.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,56.49,460.00,655.68",0 0.498915 0.347739 0.997831 0.585154,5.1795,1.0189,0.9606,-1.4714,17.1527,-10.2505
train,images/train/low_conf_typical_08_09.jpg,labels/train/low_conf_typical_08_09.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"0.00,85.25,425.92,669.54",0 0.461952 0.368548 0.923905 0.570595,0.0683,0.9691,0.9963,2.5187,-8.553,16.2151
val,images/val/low_conf_typical_08_10.jpg,labels/val/low_conf_typical_08_10.txt,8,D:\JLAO\uploads\frames\live-9c21a186c141\phone-af2a272830d2.jpg,low-conf,0.21,"8.53,41.88,433.38,674.37",0 0.479297 0.349732 0.921572 0.617667,-1.9969,0.9679,1.0536,-2.3961,2.0398,5.2833
train,images/train/low_conf_typical_09_01.jpg,labels/train/low_conf_typical_09_01.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"231.21,227.02,460.00,715.01",0 0.749685 0.459975 0.496292 0.476556,4.1363,0.9637,0.9782,-2.3107,11.4206,-5.6213
train,images/train/low_conf_typical_09_02.jpg,labels/train/low_conf_typical_09_02.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"207.88,220.23,460.00,745.04",0 0.724380 0.471321 0.546901 0.512510,-2.1948,0.9952,1.0647,1.7469,-12.9689,23.0647
train,images/train/low_conf_typical_09_03.jpg,labels/train/low_conf_typical_09_03.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"234.91,189.77,460.00,693.27",0 0.753694 0.431170 0.488274 0.491693,-2.3587,1.028,1.0188,1.3577,11.6177,-19.6009
train,images/train/low_conf_typical_09_04.jpg,labels/train/low_conf_typical_09_04.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"254.68,237.42,460.00,742.16",0 0.775144 0.478309 0.445374 0.492907,1.3915,0.991,1.0278,0.4214,16.2354,21.1235
train,images/train/low_conf_typical_09_05.jpg,labels/train/low_conf_typical_09_05.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"252.19,192.16,460.00,679.73",0 0.772437 0.425729 0.450788 0.476149,-5.3932,0.9692,0.9602,-3.9565,17.5406,-21.7324
train,images/train/low_conf_typical_09_06.jpg,labels/train/low_conf_typical_09_06.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"191.46,183.78,459.46,697.18",0 0.705987 0.430157 0.581354 0.501369,-3.1926,0.9799,1.0363,2.9253,-18.4425,-18.4852
train,images/train/low_conf_typical_09_07.jpg,labels/train/low_conf_typical_09_07.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"248.41,223.59,458.68,700.77",0 0.766903 0.451350 0.456112 0.465997,-3.6732,0.9503,0.9521,-3.9909,8.0498,0.4983
train,images/train/low_conf_typical_09_08.jpg,labels/train/low_conf_typical_09_08.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"223.19,214.88,460.00,682.54",0 0.740983 0.438193 0.513696 0.456697,-1.0283,1.0454,0.9529,-3.4098,-11.4802,-18.0991
train,images/train/low_conf_typical_09_09.jpg,labels/train/low_conf_typical_09_09.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"206.99,194.19,460.00,706.22",0 0.723419 0.439653 0.548823 0.500037,-5.2935,1.0344,1.0128,-1.2622,-14.8404,-4.7723
val,images/val/low_conf_typical_09_10.jpg,labels/val/low_conf_typical_09_10.txt,9,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-e3f8af7281b7.jpg,manual-no-detection,0.0,"228.49,226.56,460.00,697.06",0 0.746732 0.450986 0.502198 0.459470,-3.6371,0.9814,0.9446,2.5593,16.1178,-0.355
train,images/train/low_conf_typical_10_01.jpg,labels/train/low_conf_typical_10_01.txt,10,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-f59dd648fa03.jpg,manual-no-detection,0.0,"57.00,163.13,378.03,645.76",0 0.471838 0.394962 0.696373 0.471316,-2.1304,1.0265,0.984,-3.9933,-7.4382,21.2308
train,images/train/low_conf_typical_10_02.jpg,labels/train/low_conf_typical_10_02.txt,10,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-f59dd648fa03.jpg,manual-no-detection,0.0,"33.78,148.17,376.06,645.91",0 0.444513 0.387736 0.742479 0.486068,-2.0606,1.0326,1.0201,2.0272,-6.2448,18.065
